date,best_total_pp,best_comfortable_pp,fastest_sensible_pp,verdict
2026-07-20,1347,1347,2483,HOLD
2026-07-21,1340,1340,1879,HOLD
2026-07-22,1364,1364,2474,HOLD
2026-07-23,1345,1345,2351,HOLD
2026-07-24,1352,1352,2482,HOLD
2026-07-25,1373,1373,2375,HOLD
2026-07-26,1350,1350,2609,HOLD
2026-07-27,1592,1592,2507,HOLD
2026-07-28,1499,1499,2367,HOLD
2026-07-29,1502,1502,2520,HOLD
2026-07-30,1341,1341,2381,HOLD
2026-07-31,1333,1333,2374,HOLD
2026-08-01,1333,1333,2715,HOLD
2026-08-02,1478,1478,2516,HOLD
2026-08-03,1345,1345,2731,HOLD
2026-08-04,1354,1354,2518,HOLD
2026-08-05,1527,1527,1859,HOLD
